00      //Pixel 0: 000
00      //Pixel 1: 000
00      //Pixel 2: 000
3A      //Pixel 3: 058
40      //Pixel 4: 064
40      //Pixel 5: 064
41      //Pixel 6: 065
40      //Pixel 7: 064
41      //Pixel 8: 065
45      //Pixel 9: 069
49      //Pixel 10: 073
49      //Pixel 11: 073
49      //Pixel 12: 073
49      //Pixel 13: 073
4C      //Pixel 14: 076
50      //Pixel 15: 080
50      //Pixel 16: 080
57      //Pixel 17: 087
50      //Pixel 18: 080
50      //Pixel 19: 080
57      //Pixel 20: 087
57      //Pixel 21: 087
50      //Pixel 22: 080
50      //Pixel 23: 080
50      //Pixel 24: 080
5D      //Pixel 25: 093
61      //Pixel 26: 097
5B      //Pixel 27: 091
5A      //Pixel 28: 090
61      //Pixel 29: 097
5A      //Pixel 30: 090
57      //Pixel 31: 087
52      //Pixel 32: 082
52      //Pixel 33: 082
51      //Pixel 34: 081
57      //Pixel 35: 087
49      //Pixel 36: 073
49      //Pixel 37: 073
48      //Pixel 38: 072
46      //Pixel 39: 070
46      //Pixel 40: 070
49      //Pixel 41: 073
45      //Pixel 42: 069
45      //Pixel 43: 069
45      //Pixel 44: 069
45      //Pixel 45: 069
45      //Pixel 46: 069
3C      //Pixel 47: 060
3C      //Pixel 48: 060
3E      //Pixel 49: 062
3E      //Pixel 50: 062
3D      //Pixel 51: 061
3E      //Pixel 52: 062
40      //Pixel 53: 064
42      //Pixel 54: 066
42      //Pixel 55: 066
42      //Pixel 56: 066
42      //Pixel 57: 066
42      //Pixel 58: 066
42      //Pixel 59: 066
42      //Pixel 60: 066
43      //Pixel 61: 067
46      //Pixel 62: 070
46      //Pixel 63: 070
4C      //Pixel 64: 076
4C      //Pixel 65: 076
4C      //Pixel 66: 076
4C      //Pixel 67: 076
48      //Pixel 68: 072
48      //Pixel 69: 072
4C      //Pixel 70: 076
54      //Pixel 71: 084
50      //Pixel 72: 080
54      //Pixel 73: 084
50      //Pixel 74: 080
50      //Pixel 75: 080
50      //Pixel 76: 080
49      //Pixel 77: 073
49      //Pixel 78: 073
49      //Pixel 79: 073
49      //Pixel 80: 073
49      //Pixel 81: 073
49      //Pixel 82: 073
49      //Pixel 83: 073
52      //Pixel 84: 082
52      //Pixel 85: 082
52      //Pixel 86: 082
52      //Pixel 87: 082
52      //Pixel 88: 082
52      //Pixel 89: 082
53      //Pixel 90: 083
54      //Pixel 91: 084
59      //Pixel 92: 089
64      //Pixel 93: 100
69      //Pixel 94: 105
68      //Pixel 95: 104
68      //Pixel 96: 104
54      //Pixel 97: 084
53      //Pixel 98: 083
53      //Pixel 99: 083
52      //Pixel 100: 082
52      //Pixel 101: 082
52      //Pixel 102: 082
52      //Pixel 103: 082
54      //Pixel 104: 084
5A      //Pixel 105: 090
5A      //Pixel 106: 090
5E      //Pixel 107: 094
62      //Pixel 108: 098
66      //Pixel 109: 102
63      //Pixel 110: 099
5F      //Pixel 111: 095
5F      //Pixel 112: 095
5F      //Pixel 113: 095
5F      //Pixel 114: 095
5F      //Pixel 115: 095
5F      //Pixel 116: 095
5F      //Pixel 117: 095
61      //Pixel 118: 097
61      //Pixel 119: 097
6B      //Pixel 120: 107
61      //Pixel 121: 097
5F      //Pixel 122: 095
5F      //Pixel 123: 095
56      //Pixel 124: 086
00      //Pixel 125: 000
00      //Pixel 126: 000
00      //Pixel 127: 000
00      //Pixel 128: 000
21      //Pixel 129: 033
40      //Pixel 130: 064
49      //Pixel 131: 073
4D      //Pixel 132: 077
4D      //Pixel 133: 077
52      //Pixel 134: 082
52      //Pixel 135: 082
66      //Pixel 136: 102
6C      //Pixel 137: 108
73      //Pixel 138: 115
73      //Pixel 139: 115
73      //Pixel 140: 115
73      //Pixel 141: 115
72      //Pixel 142: 114
75      //Pixel 143: 117
75      //Pixel 144: 117
77      //Pixel 145: 119
77      //Pixel 146: 119
75      //Pixel 147: 117
75      //Pixel 148: 117
75      //Pixel 149: 117
70      //Pixel 150: 112
70      //Pixel 151: 112
70      //Pixel 152: 112
70      //Pixel 153: 112
74      //Pixel 154: 116
71      //Pixel 155: 113
71      //Pixel 156: 113
71      //Pixel 157: 113
71      //Pixel 158: 113
70      //Pixel 159: 112
6E      //Pixel 160: 110
71      //Pixel 161: 113
6E      //Pixel 162: 110
6B      //Pixel 163: 107
62      //Pixel 164: 098
5B      //Pixel 165: 091
5B      //Pixel 166: 091
59      //Pixel 167: 089
55      //Pixel 168: 085
55      //Pixel 169: 085
4D      //Pixel 170: 077
50      //Pixel 171: 080
50      //Pixel 172: 080
55      //Pixel 173: 085
4C      //Pixel 174: 076
4C      //Pixel 175: 076
4C      //Pixel 176: 076
4F      //Pixel 177: 079
4F      //Pixel 178: 079
4C      //Pixel 179: 076
4F      //Pixel 180: 079
4E      //Pixel 181: 078
4C      //Pixel 182: 076
4C      //Pixel 183: 076
47      //Pixel 184: 071
47      //Pixel 185: 071
47      //Pixel 186: 071
45      //Pixel 187: 069
47      //Pixel 188: 071
4C      //Pixel 189: 076
4C      //Pixel 190: 076
4C      //Pixel 191: 076
4D      //Pixel 192: 077
4D      //Pixel 193: 077
51      //Pixel 194: 081
5B      //Pixel 195: 091
5B      //Pixel 196: 091
60      //Pixel 197: 096
63      //Pixel 198: 099
65      //Pixel 199: 101
68      //Pixel 200: 104
68      //Pixel 201: 104
5F      //Pixel 202: 095
63      //Pixel 203: 099
5B      //Pixel 204: 091
54      //Pixel 205: 084
5B      //Pixel 206: 091
5D      //Pixel 207: 093
5E      //Pixel 208: 094
5F      //Pixel 209: 095
5E      //Pixel 210: 094
5E      //Pixel 211: 094
5E      //Pixel 212: 094
5B      //Pixel 213: 091
5B      //Pixel 214: 091
58      //Pixel 215: 088
60      //Pixel 216: 096
60      //Pixel 217: 096
69      //Pixel 218: 105
78      //Pixel 219: 120
7B      //Pixel 220: 123
7B      //Pixel 221: 123
78      //Pixel 222: 120
72      //Pixel 223: 114
70      //Pixel 224: 112
6F      //Pixel 225: 111
6C      //Pixel 226: 108
6C      //Pixel 227: 108
68      //Pixel 228: 104
67      //Pixel 229: 103
67      //Pixel 230: 103
70      //Pixel 231: 112
6B      //Pixel 232: 107
6B      //Pixel 233: 107
69      //Pixel 234: 105
69      //Pixel 235: 105
69      //Pixel 236: 105
75      //Pixel 237: 117
6B      //Pixel 238: 107
6B      //Pixel 239: 107
79      //Pixel 240: 121
7A      //Pixel 241: 122
89      //Pixel 242: 137
85      //Pixel 243: 133
7A      //Pixel 244: 122
72      //Pixel 245: 114
7A      //Pixel 246: 122
82      //Pixel 247: 130
82      //Pixel 248: 130
7E      //Pixel 249: 126
6F      //Pixel 250: 111
66      //Pixel 251: 102
63      //Pixel 252: 099
60      //Pixel 253: 096
49      //Pixel 254: 073
00      //Pixel 255: 000
00      //Pixel 256: 000
40      //Pixel 257: 064
46      //Pixel 258: 070
4D      //Pixel 259: 077
4F      //Pixel 260: 079
4F      //Pixel 261: 079
6C      //Pixel 262: 108
71      //Pixel 263: 113
75      //Pixel 264: 117
7B      //Pixel 265: 123
7C      //Pixel 266: 124
7E      //Pixel 267: 126
7C      //Pixel 268: 124
7B      //Pixel 269: 123
78      //Pixel 270: 120
7B      //Pixel 271: 123
7B      //Pixel 272: 123
7B      //Pixel 273: 123
79      //Pixel 274: 121
7B      //Pixel 275: 123
81      //Pixel 276: 129
82      //Pixel 277: 130
81      //Pixel 278: 129
