00      //Pixel 0: 000
00      //Pixel 1: 000
00      //Pixel 2: 000
82      //Pixel 3: 130
82      //Pixel 4: 130
82      //Pixel 5: 130
82      //Pixel 6: 130
82      //Pixel 7: 130
82      //Pixel 8: 130
83      //Pixel 9: 131
83      //Pixel 10: 131
7F      //Pixel 11: 127
6F      //Pixel 12: 111
55      //Pixel 13: 085
4D      //Pixel 14: 077
4D      //Pixel 15: 077
4D      //Pixel 16: 077
4D      //Pixel 17: 077
4D      //Pixel 18: 077
4D      //Pixel 19: 077
4D      //Pixel 20: 077
55      //Pixel 21: 085
55      //Pixel 22: 085
57      //Pixel 23: 087
57      //Pixel 24: 087
57      //Pixel 25: 087
58      //Pixel 26: 088
59      //Pixel 27: 089
5A      //Pixel 28: 090
5F      //Pixel 29: 095
62      //Pixel 30: 098
66      //Pixel 31: 102
69      //Pixel 32: 105
69      //Pixel 33: 105
6A      //Pixel 34: 106
6B      //Pixel 35: 107
6B      //Pixel 36: 107
6B      //Pixel 37: 107
6C      //Pixel 38: 108
6C      //Pixel 39: 108
6C      //Pixel 40: 108
6C      //Pixel 41: 108
6E      //Pixel 42: 110
6E      //Pixel 43: 110
6F      //Pixel 44: 111
6F      //Pixel 45: 111
6E      //Pixel 46: 110
6E      //Pixel 47: 110
6E      //Pixel 48: 110
6E      //Pixel 49: 110
6E      //Pixel 50: 110
6E      //Pixel 51: 110
6E      //Pixel 52: 110
6F      //Pixel 53: 111
6C      //Pixel 54: 108
6E      //Pixel 55: 110
6E      //Pixel 56: 110
6E      //Pixel 57: 110
6E      //Pixel 58: 110
6F      //Pixel 59: 111
6E      //Pixel 60: 110
6E      //Pixel 61: 110
6E      //Pixel 62: 110
6E      //Pixel 63: 110
6E      //Pixel 64: 110
6D      //Pixel 65: 109
6C      //Pixel 66: 108
6C      //Pixel 67: 108
6C      //Pixel 68: 108
6B      //Pixel 69: 107
6B      //Pixel 70: 107
6C      //Pixel 71: 108
6B      //Pixel 72: 107
6A      //Pixel 73: 106
68      //Pixel 74: 104
64      //Pixel 75: 100
62      //Pixel 76: 098
5D      //Pixel 77: 093
59      //Pixel 78: 089
59      //Pixel 79: 089
59      //Pixel 80: 089
59      //Pixel 81: 089
59      //Pixel 82: 089
59      //Pixel 83: 089
68      //Pixel 84: 104
77      //Pixel 85: 119
7D      //Pixel 86: 125
81      //Pixel 87: 129
81      //Pixel 88: 129
81      //Pixel 89: 129
81      //Pixel 90: 129
81      //Pixel 91: 129
82      //Pixel 92: 130
82      //Pixel 93: 130
81      //Pixel 94: 129
80      //Pixel 95: 128
80      //Pixel 96: 128
80      //Pixel 97: 128
80      //Pixel 98: 128
80      //Pixel 99: 128
80      //Pixel 100: 128
80      //Pixel 101: 128
80      //Pixel 102: 128
80      //Pixel 103: 128
5A      //Pixel 104: 090
5A      //Pixel 105: 090
5A      //Pixel 106: 090
5A      //Pixel 107: 090
5A      //Pixel 108: 090
5A      //Pixel 109: 090
5A      //Pixel 110: 090
60      //Pixel 111: 096
64      //Pixel 112: 100
64      //Pixel 113: 100
64      //Pixel 114: 100
65      //Pixel 115: 101
65      //Pixel 116: 101
66      //Pixel 117: 102
68      //Pixel 118: 104
68      //Pixel 119: 104
68      //Pixel 120: 104
68      //Pixel 121: 104
61      //Pixel 122: 097
60      //Pixel 123: 096
2E      //Pixel 124: 046
00      //Pixel 125: 000
00      //Pixel 126: 000
00      //Pixel 127: 000
00      //Pixel 128: 000
83      //Pixel 129: 131
84      //Pixel 130: 132
84      //Pixel 131: 132
83      //Pixel 132: 131
83      //Pixel 133: 131
83      //Pixel 134: 131
83      //Pixel 135: 131
84      //Pixel 136: 132
85      //Pixel 137: 133
88      //Pixel 138: 136
88      //Pixel 139: 136
86      //Pixel 140: 134
79      //Pixel 141: 121
68      //Pixel 142: 104
52      //Pixel 143: 082
52      //Pixel 144: 082
52      //Pixel 145: 082
52      //Pixel 146: 082
52      //Pixel 147: 082
55      //Pixel 148: 085
57      //Pixel 149: 087
57      //Pixel 150: 087
58      //Pixel 151: 088
58      //Pixel 152: 088
58      //Pixel 153: 088
5A      //Pixel 154: 090
5C      //Pixel 155: 092
5F      //Pixel 156: 095
64      //Pixel 157: 100
66      //Pixel 158: 102
68      //Pixel 159: 104
6A      //Pixel 160: 106
6A      //Pixel 161: 106
6B      //Pixel 162: 107
6D      //Pixel 163: 109
6D      //Pixel 164: 109
6D      //Pixel 165: 109
6E      //Pixel 166: 110
6E      //Pixel 167: 110
6F      //Pixel 168: 111
6F      //Pixel 169: 111
6F      //Pixel 170: 111
6F      //Pixel 171: 111
6F      //Pixel 172: 111
6F      //Pixel 173: 111
6F      //Pixel 174: 111
6F      //Pixel 175: 111
6F      //Pixel 176: 111
6F      //Pixel 177: 111
6F      //Pixel 178: 111
6F      //Pixel 179: 111
6F      //Pixel 180: 111
6F      //Pixel 181: 111
6F      //Pixel 182: 111
6F      //Pixel 183: 111
6F      //Pixel 184: 111
6F      //Pixel 185: 111
6F      //Pixel 186: 111
6F      //Pixel 187: 111
6F      //Pixel 188: 111
6F      //Pixel 189: 111
6F      //Pixel 190: 111
6F      //Pixel 191: 111
6F      //Pixel 192: 111
6E      //Pixel 193: 110
6E      //Pixel 194: 110
6D      //Pixel 195: 109
6C      //Pixel 196: 108
6C      //Pixel 197: 108
6C      //Pixel 198: 108
6C      //Pixel 199: 108
6C      //Pixel 200: 108
6C      //Pixel 201: 108
6B      //Pixel 202: 107
6A      //Pixel 203: 106
64      //Pixel 204: 100
62      //Pixel 205: 098
60      //Pixel 206: 096
5F      //Pixel 207: 095
5F      //Pixel 208: 095
5F      //Pixel 209: 095
5F      //Pixel 210: 095
68      //Pixel 211: 104
77      //Pixel 212: 119
7D      //Pixel 213: 125
82      //Pixel 214: 130
84      //Pixel 215: 132
84      //Pixel 216: 132
83      //Pixel 217: 131
83      //Pixel 218: 131
83      //Pixel 219: 131
83      //Pixel 220: 131
83      //Pixel 221: 131
82      //Pixel 222: 130
82      //Pixel 223: 130
82      //Pixel 224: 130
82      //Pixel 225: 130
81      //Pixel 226: 129
81      //Pixel 227: 129
81      //Pixel 228: 129
82      //Pixel 229: 130
83      //Pixel 230: 131
84      //Pixel 231: 132
8B      //Pixel 232: 139
7B      //Pixel 233: 123
62      //Pixel 234: 098
60      //Pixel 235: 096
60      //Pixel 236: 096
60      //Pixel 237: 096
61      //Pixel 238: 097
64      //Pixel 239: 100
64      //Pixel 240: 100
65      //Pixel 241: 101
66      //Pixel 242: 102
67      //Pixel 243: 103
68      //Pixel 244: 104
68      //Pixel 245: 104
68      //Pixel 246: 104
69      //Pixel 247: 105
69      //Pixel 248: 105
69      //Pixel 249: 105
68      //Pixel 250: 104
64      //Pixel 251: 100
5D      //Pixel 252: 093
2C      //Pixel 253: 044
29      //Pixel 254: 041
00      //Pixel 255: 000
00      //Pixel 256: 000
84      //Pixel 257: 132
85      //Pixel 258: 133
85      //Pixel 259: 133
84      //Pixel 260: 132
84      //Pixel 261: 132
84      //Pixel 262: 132
85      //Pixel 263: 133
86      //Pixel 264: 134
88      //Pixel 265: 136
8C      //Pixel 266: 140
8C      //Pixel 267: 140
88      //Pixel 268: 136
80      //Pixel 269: 128
70      //Pixel 270: 112
59      //Pixel 271: 089
55      //Pixel 272: 085
55      //Pixel 273: 085
55      //Pixel 274: 085
55      //Pixel 275: 085
55      //Pixel 276: 085
